Standard Code,Standard Name,Disclosure Code,Disclosure Name,Rationale,Response Options,Data Type
8,Environmental Performance - Forests,8.1,Are there any exclusions from your disclosure of forests-related data?,"CDP seeks to share comprehensive and representative data to ensure data users' confidence in the information reported. As such, if organizations need to exclude parts of their direct operations and/or upstream value chain from their disclosure of forests-related data, data users must be informed of the exclusions as this may affect their analysis.",NaN,Narrative
8,Environmental Performance - Forests,8.1.1,Provide details on these exclusions.,"An organization's disclosure must be comprehensive and representative to ensure data users' confidence in the information reported. As such, organizations are encouraged to report on all exclusions of forests-related data from their direct operations and/or upstream value chain. This question helps data users contextualize responses to subsequent commodity-related questions.",NaN,Narrative
8,Environmental Performance - Forests,8.2,Provide a breakdown of your disclosure volume per commodity.,"Transparency on the commodity volumes included in an organization's disclosure is key to data users' understanding of environmental performance. This question requests the breakdown of the volume that is being disclosed on (here referred to as the ""Disclosure volume"") according to the volume that is produced (""Produced volume"") and sourced (""Sourced volume""). This question helps data users to understand and contextualise the volumes that are being reported on in this module.","Response options;;

0;1;2;3;4;
Commodity;Disclosure volume (metric tons);Volume type;Produced volume (metric tons);Sourced volume (metric tons);
Timber products;Numerical field [enter a number from 0- 999,999,999,999 using a maximum of 2 decimal places];Select all that apply: · Produced · Sourced;Numerical field [enter a number from 0- 999,999,999,999 using a maximum of 2 decimal places];Numerical field [enter a number from 0- 999,999,999,999 using a maximum of 2 decimal places];
Palm oil;;;;;
Cattle products;;;;;
Soy;;;;;
Rubber;;;;;
Cocoa;;;;;
Coffee;;;;;",Quantitative Table
8,Environmental Performance - Forests,8.2.1,Provide details on any soy embedded in animal products sourced by your organization.,"Global population growth is increasing the demand for animal products and consequently, increasing the demand for soy used to feed animals. This growth in soy production is linked to deforestation and conversion of natural ecosystems and usually goes unaccounted for, as it is ""embedded"" or ""hidden"" in organizations' value chains. To address this, organizations who source animal products should: improve their awareness of their embedded soy exposure across the breadth of their product sourcing; work towards better visibility of their embedded soy origins; and assess their deforestation-free (DF) or deforestation- and conversion-free (DCF) status of their embedded soy volume. This question provides investors and other data users transparency on an organization's embedded soy use, in terms of its associated volume calculation, traceability, and DCF status.",NaN,Quantitative Table
8,Environmental Performance - Forests,8.3,"Provide details on the land you own, manage and/or control that is used to produce your disclosed commodities.","This question gathers information on the land that you own, manage and/or control that is used to produce your disclosed commodities. The data disclosed provides an indication of your market power and potential influence over land use in different regions including eventual links to deforestation and the conversion of natural ecosystems. It is important to demonstrate to investors and other stakeholders that your organization has a good understanding of the land it owns, manages, or controls.","Response options;;
1;2;3;4;5;6;
Commodity;Type of control;Country/area;First-level administrative division;Specify the states or equivalent jurisdictions;Land type;
Timber products;Select from: · Own land · Concessions/lease · Company-affiliated smallholders · Other type of control, please specify;Select from: · [List of forest - countries/areas] · Unknown origin;Select from: · States/equivalent jurisdictions · Unknown · Not disclosing;Text field [maximum 2,500 characters];Select from: · Managed natural forests · Tree plantations · Other land type, please specify;
Palm oil;;;;;;
Cattle products;;;;;;
Soy;;;;;;
Rubber;;;;;;
Cocoa;;;;;;
Coffee;;;;;;
Select from: · Timber products · Palm oil;;;;;;",Quantitative Table
8,Environmental Performance - Forests,8.4,"Indicate if any of the land you own, manage and/or control was not used to produce your disclosed commodities in the reporting year.","This question gathers information on if any of the land you own, manage and/or control was not used for the production of your disclosed commodities in the reporting year. The disclosure of land holdings is critical for understanding current and future risks and opportunities related to deforestation and conversion of other natural ecosystems.","Select one of the following options:
· All the land we own, manage and/or control is used for production
· Some of the land we own, manage and/or control is not used for production",Enumeration
8,Environmental Performance - Forests,8.4.1,"Provide details on the land you own, manage and/or control that was not used to produce your disclosed commodities in the reporting year.","Organizations should be able to identify the land it owns, manages and/or controls which is not currently used to produce commodities, but may or may not be in the future. By disclosing this data, you provide investors and other data users insights on land stewardship in addition to potential challenges your organization may face in expanding production areas.",NaN,Quantitative Table
8,Environmental Performance - Forests,8.5,Provide details on the origins of your sourced volumes.,This question provides data users with more clarity about your organization's exposure to deforestation and conversion risks. This question will benefit disclosers through increased transparency and improved ability to identify risks to their business.,NaN,Narrative
8,Environmental Performance - Forests,8.6,Does your organization produce or source palm oil derived biofuel?,This question allows data users to understand the relevancy of palm oil derived biofuels to your organization.,Select one of the following options: · Yes · No,Boolean
8,Environmental Performance - Forests,8.6.1,Provide details of how your organization produces or sources palm oil derived biofuel.,This question provides investors and data users transparency on organization's palm oil derived biofuel in terms of its associated volume and its origin.,NaN,Quantitative Table
